Genus1974,Family1974
Hartlaubius,Sturnidae
Heleia,Zosteropidae
Heliactin,Trochilidae
Heliangelus,Trochilidae
Helicolestes,Accipitridae
Heliobletus,Furnariidae
Tyto,Tytonidae
Heliodoxa,Trochilidae
Heliolais,Sylviidae
Heliomaster,Trochilidae
Heliopais,Heliornithidae
Heliornis,Heliornithidae
Heliothryx,Trochilidae
Helmitheros,Parulidae
Hemerodromus,Glareolidae
Hemicercus,Picidae
Hemignathus,Drepanididae
Hemiparra,Charadriidae
Hemiphaga,Columbidae
Hemiprocne,Hemiprocnidae
Hemispingus,Thraupidae
Hemipus,Campephagidae
Hemitesia,Sylviidae
Hemithraupis,Thraupidae
Hemitriccus,Tyrannidae
Henicopernis,Accipitridae
Henicophaps,Columbidae
Henicorhina,Troglodytidae
Herpetotheres,Falconidae
Herpsilochmus,Formicariidae
Hesperiphona,Fringillidae
Heteralocha,Callaeidae
Hetereomunia,Ploceidae
Heterhyphantes,Ploceidae
Heterocercus,Pipridae
Tigrisoma,Ardeidae
Mirafra,Alaudidae
Heteromyias,Muscicapidae
Heteronetta,Anatidae
Heterophasia,Timaliidae
Heteroscelus,Scolopacidae
Heterospingus,Thraupidae
Heterospizias,Accipitridae
Heterotrogon,Trogonidae
Hieraaetus,Accipitridae
Himantopus,Recurvirostridae
Himantornis,Rallidae
Himatione,Drepanididae
Hippolais,Sylviidae
Hirundapus,Apodidae
Hirundinea,Tyrannidae
Histrionicus,Anatidae
Histriophaps,Columbidae
Histurgops,Ploceidae
Hodgsonius,Turdidae
Hoplopterus,Charadriidae
Horizorhinus,Muscicapidae
Hydranassa,Ardeidae
Hydrobates,Hydrobatidae
Hydrophasianus,Jacanidae
Hydroprogne,Laridae
Hydropsalis,Caprimulgidae
Hyetornis,Cuculidae
Hylacola,Sylviidae
Hylexetastes,Dendrocolaptidae
Hylia,Hyliadae
Hyliota,Muscicapidae
Hylocharis,Trochilidae
Hylochelidon,Hirundinidae
Hylorchilus,Troglodytidae
Hylocitrea,Muscicapidae
Hylocryptus,Furnariidae
Hyloctistes,Furnariidae
Hylomanes,Momotidae
Hylonympha,Trochilidae
Hylophilus,Vireonidae
Hylophylax,Formicariidae
Hymenolaimus,Anatidae
Hymenops,Tyrannidae
Hypargos,Ploceidae
Hypergerus,Sylviidae
Hyphanturgus,Ploceidae
Hypnelus,Bucconidae
Hypochera,Ploceidae
Hypocnemoides,Formicariidae
Hypocolius,Hypocolidae
Hypocryptadius,Zosteropidae
Hypoedaleus,Formicariidae
Hypogramma,Nectariniidae
Hypopyrrhus,Icteridae
Hypositta,Hyposittidae
Hypothymis,Muscicapidae
Hypsipetes,Pycnonotidae
Ibidorhyncha,Recurvirostridae
Ibis,Ciconiidae
Ichthyophaga,Accipitridae
Icteria,Parulidae
Icterus,Icteridae
Ictinaetus,Accipitridae
Ictinia,Accipitridae
Idiopsar,Fringillidae
Idioptilon,Tyrannidae
Ifrita,Timaliidae
Ilicura,Pipridae
II,NA
Trichastoma,Timaliidae
Incana,Sylviidae
Incaspiza,Fringillidae
Indicator,Indicatoridae
Inezia,Tyrannidae
lodopleura,Cotingidae
Irania,Turdidae
Jacana,Jacanidae
Irena,Irenidae
Iridophanes,Coerebidae
Iridoprocne,Hirundinidae
Iridosornis,Thraupidae
